Date,Filename,Title,Download Url,Threat Actor,Victim Country,Zero-Day,Attack Vector,Malware,Target Sector
2016-05-22,targeted_attacksaga.html,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.05.22.Targeted_Attacks_Against_Banks_in_Middle_East/targeted_attacksaga.html.pdf,Not mentioned,Middle East region,FALSE,"SpearPhishing, Malicious Documents, Social Engineering",Mimikatz,Financial institutions
2016-05-27,ixeshe-derivative-iheate-targets-users-america,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.05.27.IXESHE_Derivative_IHEATE_Targets_Users_in_America/ixeshe-derivative-iheate-targets-users-america.pdf,Not mentioned,"East Asia, Germany, United States, Taiwan",Not mentioned,"Malicious Documents, Exploit Vulnerability","IXESHE, IHEATE, BKDR_IHEATE","Government and defense agencies, Corporations and Businesses, Manufacturing, Media and entertainment companies, Individuals."
2016-06-09,Operation-DustySky2_-6.2016_TLP_White,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.06.09.Operation_DustySky_II/Operation-DustySky2_-6.2016_TLP_White.pdf,"Molerats (aka ""Gaza cybergang"")","Middle East, United States, Europe, Egypt, Saudi Arabia, The Palestinian Authority, United Arab Emirates, Israel, UK, Jordan.",Not mentioned,SpearPhishing,"DustySky (dropper, core, keylogging component), Poison Ivy, Nano Core, XtremeRAT, DarkComet, Spy-Net.","Government and defense agencies, Corporations and Businesses, Financial institutions, Education and research institutions, Non-Governmental Organizations (NGOs) and Nonprofits, Individuals."
2016-06-21,the-curious-case-of-an-unknown-trojan-targeting-german-speaking-users,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.06.21.Unknown_Trojan_Targeting_German_Speaking_Users/the-curious-case-of-an-unknown-trojan-targeting-german-speaking-users.pdf,Not mentioned,Germany and Austria.,Not mentioned,"Phishing, Social Engineering, Malicious Documents.",DELoader,Individuals
2016-06-26,the-state-of-the-esilelotus-blossom-campaign,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.06.26.The_State_of_the_ESILE_Lotus_Blossom_Campaign/the-state-of-the-esilelotus-blossom-campaign.pdf,Not mentioned,Southeast Asian region,Not mentioned,"SpearPhishing, Malicious Documents, Exploit Vulnerability","BKDR_ESILE, SetElise, EliseDLL, LoadElise",Government and defense agencies.
2016-06-26,threat-update-nigerian-cybercriminals-target-high-impact-indian-industries-via-pony,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.06.26.Nigerian_Cybercriminals_Target_High_Impact_Industries_in_India/threat-update-nigerian-cybercriminals-target-high-impact-indian-industries-via-pony.pdf,Not mentioned,India,Not mentioned,SpearPhishing,"Pony Loader 2.2, Hawkeye, Zeus","Financial institutions, Corporations and Businesses"
2016-06-28,ref_researchers-disrupt-iranian-cyberespionage-campaign,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.06.28.prince-of-persia-game-over/ref_researchers-disrupt-iranian-cyberespionage-campaign.pdf,Not mentioned,"North America, Europe, Asia (particularly the Middle East), and Australia.",Not mentioned,Not mentioned,"Infy, Infy M","Government and defense agencies, Corporations and Businesses, Healthcare, Individuals."
2016-06-28,unit42-prince-of-persia-game-over,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.06.28.prince-of-persia-game-over/unit42-prince-of-persia-game-over.pdf,Not mentioned,Iran and Canada.,Not mentioned,Not mentioned,"Infy, Infy M","Government and defense agencies, Corporations and Businesses"
2016-07-01,espionage-toolkit-targeting-central-eastern-europe-uncovered,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.07.01.SBDH_toolkit_targeting_Central_and_Eastern_Europe/espionage-toolkit-targeting-central-eastern-europe-uncovered.pdf,Not mentioned,Central and Eastern Europe,Not mentioned,"Phishing, Social Engineering, Malicious Documents",SBDH toolkit,Government and defense agencies
2016-07-03,HummingBad-Research-report_FINAL-62916,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.07.03_From_HummingBad_to_Worse/HummingBad-Research-report_FINAL-62916.pdf,Yingmob,"China, India, Philippines, Indonesia, Turkey, Brazil, Mexico, United States, Thailand, Bangladesh, Russia, Pakistan, Nepal, Romania, Egypt, Vietnam, Colombia, Algeria, Ukraine, Malaysia.",Not mentioned,Not mentioned,"HummingBad, SSP, input tap X Y, Se, LockTask.","Government and defense agencies, Corporations and Businesses, Individuals."
2016-07-12,nanhaishu_whitepaper,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.07.12.NanHaiShu_RATing_the_South_China_Sea/nanhaishu_whitepaper.pdf,Not mentioned,Philippines,False,"SpearPhishing, Social Engineering, Malicious Documents.",NanHaiShu (Remote Access Trojan or RAT).,"Government and defense agencies, Corporations and Businesses"
2016-07-13,SFG_ Furtim's Parent,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.07.13.State-Sponsored_SCADA_Malware_targeting_European_Energy_Companies/SFG_%20Furtim%27s%20Parent.pdf,Not mentioned,Not mentioned.,FALSE,Exploit Vulnerability,Wget,Energy and utilities
2016-07-13,sfg-furtims-parent,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.07.13.State-Sponsored_SCADA_Malware_targeting_European_Energy_Companies/sfg-furtims-parent.pdf,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"cwsandbox, odbg110 (OllyDbg), gfisandbox, SysAnalyzer, SandCastle, cuckoo, WinDump.exe, Raptorclient.exe, decodezeus, procexp.exe (Process Explorer), malmon, SbieDll.dll (Sandboxie), NtHookEngine.dll.",Not mentioned
2016-07-21,tta1-f04_hide-and-seek-how-threat-actors-respond-in-the-face-of-public-exposure,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.07.21.Hide_and_Seek/tta1-f04_hide-and-seek-how-threat-actors-respond-in-the-face-of-public-exposure.pdf,APT17,"United States, Japan, Taiwan, Germany, South Korea, United Kingdom, Australia, India, Netherlands, Singapore, Tunisia, Egypt.",TRUE,Phishing,Not mentioned,"Government and defense agencies (Aerospace & Defense, Government Organizations); Corporations and Businesses (Business & Professional Services, Construction & Engineering, High Tech & IT, Retail & Consumer Goods); Financial institutions (Financial Services & Insurance); Healthcare (Healthcare & Pharmaceuticals); Energy and utilities (Energy); Education and research institutions (Education); Media and entertainment companies (Media and Entertainment); Critical infrastructure (Telecommunications, Transportation); Non-Governmental Organizations (NGOs) and Nonprofits (International Organizations)."
2016-08-02,Group5_ Syria and the Iranian Connection - The Citizen Lab,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.08.02.group5-syria/Group5_%20Syria%20and%20the%20Iranian%20Connection%20-%20The%20Citizen%20Lab.pdf,Group5,Syria,FALSE,"SpearPhishing, Phishing, Social Engineering, Malicious Documents, Exploit Vulnerability","PAC Crypt, njRAT, NanoCore RAT, alshohadaa alatfal.exe, adobe_flash_player.apk, assadcrimes.ppsx.","Government and defense agencies, Individuals."
2016-08-07,Symantec_Remsec_IOCs,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.08.07.Strider_Cyberespionage_group_turns_eye_of_Sauron_on_targets/Symantec_Remsec_IOCs.pdf,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"Backdoor.Remsec, SAURON (keylogger component), ILPS module.",Not mentioned
2016-08-08,ProjectSauron_ top level cyber-espionage platform covertly extracts encrypted government comms - Securelist,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.08.08.ProjectSauron/ProjectSauron_%20top%20level%20cyber-espionage%20platform%20covertly%20extracts%20encrypted%20government%20comms%20-%20Securelist.pdf,"ProjectSauron, also known as Strider.","Russia, Iran, Rwanda, and possibly Italian-speaking countries.",FALSE,Not mentioned,"ProjectSauron, modified LUA scripting engine","Government and defense agencies, Education and research institutions, Financial institutions, Critical infrastructure"
2016-08-17,Operation Ghoul_ targeted attacks on industrial and engineering organizations - Securelist,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.08.17_operation-ghoul/Operation%20Ghoul_%20targeted%20attacks%20on%20industrial%20and%20engineering%20organizations%20-%20Securelist.pdf,Not mentioned,"Switzerland, Gibraltar, USA, Sweden, China, France, Azerbaijan, Iraq, Turkey, Romania, Iran, and Italy.",Not mentioned,SpearPhishing,Hawkeye commercial spyware,"Government and defense agencies, Corporations and Businesses, Healthcare, Energy and utilities, Cloud/IoT services, Manufacturing, Education and research institutions, Critical infrastructure."
2016-08-19,Russian_Cyber_Operations_On_Steroids,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.08.19.fancy-bear-anti-doping-agency-phishing/Russian_Cyber_Operations_On_Steroids.pdf,FANCY BEAR,Not mentioned,Not mentioned,Phishing,Not mentioned,"Non-Governmental Organizations (NGOs) and Nonprofits, Individuals."
2016-09-01,human-rights-impersonation-malware,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.09.01.human-rights-impersonation-malware/human-rights-impersonation-malware.pdf,Not mentioned,"Iran, Saudi Arabia, Iraq, Palestine, Middle Eastern Countries, Turkey.",Not mentioned,"SpearPhishing, Credential Reuse","ExtremeDownloader, Dropper, Metasploit, Meterpreter, TightVNC, Strealer, DroidJack APKs, CanaryTokens.","Government and defense agencies, Corporations and Businesses, Non-Governmental Organizations (NGOs) and Nonprofits, Individuals."
2016-09-18,Hunting Libyan Scorpions _ Cyberkov _ Professional Cybersecurity & Consultation Firm_,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.09.18.Hunting-Libyan-Scorpions/Hunting%20Libyan%20Scorpions%20_%20Cyberkov%20_%20Professional%20Cybersecurity%20%26%20Consultation%20Firm_.pdf,Libyan Scorpions,Libya,Not mentioned,"SpearPhishing, Social Engineering",Not mentioned,Individuals
2016-09-18,Hunting-Libyan-Scorpions-AR,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.09.18.Hunting-Libyan-Scorpions/Hunting-Libyan-Scorpions-AR.pdf,عقارب ليبيا (Libya Scorpions),Not mentioned.,Not mentioned,Social Engineering,"JSocket, AlienSpy",Individuals
2016-09-26,unit42-sofacys-komplex-os-x-trojan,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.09.26_Sofacy_Komplex_OSX_Trojan/unit42-sofacys-komplex-os-x-trojan.pdf,Sofacy group,Not mentioned,Not mentioned,Malicious Documents,"Komplex binder, Komplex dropper, Preview, launchctl, launchd, MacKeeper, Komplex Trojan, Carberp variant Trojan.",Government and defense agencies
2016-10-16,threatconnect-discovers-chinese-apt-activity-in-europe,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.10.16.A_Tale_of_Two_Targets/threatconnect-discovers-chinese-apt-activity-in-europe.pdf,EMISSARY PANDA,Europe and the U.S.,Not mentioned,Not mentioned,HttpBrowser backdoor,"Corporations and Businesses, Energy and utilities"
2016-12-13,rise-telebots-analyzing-disruptive-killdisk-attacks,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2016/2016.12.13.rise-telebots-analyzing-disruptive-killdisk-attacks/rise-telebots-analyzing-disruptive-killdisk-attacks.pdf,TeleBots,Ukraine,Not mentioned,"SpearPhishing, Malicious Documents","Telegram Bot API, CredRaptor, plainpwd, mimikatz, keylogger, Interceptor-NG, WinPcap drivers, Rust, trojan downloader, Python/TeleBot.AA trojan, Python, LDAP query tool, VBS, script2exe.","Financial institutions, Energy and utilities, Media and entertainment companies, Critical infrastructure."
2017-01-05,Iranian Fileless Attack Infiltrates Israeli Organizations,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.01.05.Iranian_Threat_Agent_OilRig/Iranian%20Fileless%20Attack%20Infiltrates%20Israeli%20Organizations.pdf,OilRig,Israel,TRUE,"SpearPhishing, Exploit Vulnerability, Malicious Documents","Helminth Trojan agent, PowerShell, VBS","Corporations and Businesses, Financial institutions, Healthcare, Education and research institutions."
2017-01-09,unit42-second-wave-shamoon-2-attacks-identified,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.01.09.second-wave-shamoon-2-attacks-identified/unit42-second-wave-shamoon-2-attacks-identified.pdf,Shamoon 2,Saudi Arabia,Not mentioned,Not mentioned,"Disttrack, Disttrack Wiper",Not mentioned
2017-01-12,The 'EyePyramid' Attacks - Securelist,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.01.12.EyePyramid.attacks/The%20%E2%80%9CEyePyramid%E2%80%9D%20Attacks%20-%20Securelist.pdf,Not mentioned,"Italy, France, Indonesia, Monaco, Mexico, China, Taiwan, Germany, and Poland.",FALSE,"SpearPhishing, Social Engineering, Malicious Documents",EyePyramid malware,"Corporations and Businesses, Education and research institutions, Government and defense agencies, Healthcare, Individuals."
2017-01-19,Kashmir_Protest_Themed,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.01.19.uri-terror-attack/Kashmir_Protest_Themed.pdf,Not mentioned,India,Not mentioned,"SpearPhishing, Malicious Documents","njRAT, PowerShell",Government and defense agencies
2017-01-25,etecting-threat-actors-in-recent-german-industrial-attacks-with-windows-defender-atp,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.01.25.german-industrial-attacks/etecting-threat-actors-in-recent-german-industrial-attacks-with-windows-defender-atp.pdf,"BARIUM, LEAD","Asia, Europe, Oceania, the Middle East, and the United States.",FALSE,"*   **SpearPhishing:** BARIUM's spear-phishing after cultivating relationships.
*   **Phishing:** LEAD's emails with Winnti installer.
*   **Credential Reuse:** LEAD's brute-forcing remote access login credentials.
*   **Social Engineering:** LEAD's basic social engineering, BARIUM's cultivating relationships.
*   **Exploit Vulnerability:** LEAD's SQL injection and exploiting unpatched web servers; BARIUM's exploits in Microsoft Office documents.
*   **Malicious Documents:** LEAD's Winnti installer via email; BARIUM's malicious shortcut (.lnk) files, compiled HTML help (.chm) files, or Microsoft Office documents with macros or exploits.
*   **Not mentioned:** Watering Hole, Covert Channels, Drive-by Download, Removable Media, Website Equipping, Meta Data Monitoring.",Winnti,"Corporations and Businesses, Manufacturing, Healthcare, Education and research institutions, Media and entertainment companies, Critical infrastructure."
2017-01-30,unit42-downeks-and-quasar-rat-used-in-recent-targeted-attacks-against-governments,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.01.30.downeks-and-quasar-rat-used-in-recent-targeted-attacks-against-governments/unit42-downeks-and-quasar-rat-used-in-recent-targeted-attacks-against-governments.pdf,Gaza Cybergang group,Not mentioned,Not mentioned,"Phishing, Website Equipping, Malicious Documents.","Downeks, Quasar RAT, .NET Framework, xRAT.",Government and defense agencies
2017-02-03,kingslayer-a-supply-chain-attack,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.02.03.kingslayer-a-supply-chain-attack/kingslayer-a-supply-chain-attack.pdf,KINGSLAYER,Not mentioned,Not mentioned,Not mentioned,"PGV_PVID, Kingslayer backdoor, Derusbi variants, Rekaf, TXER, Bergard.",Corporations and Businesses
2017-02-03,"Several Polish banks hacked, information stolen by unknown attackers - BadCyber",,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.02.03.several-polish-banks-hacked/Several%20Polish%20banks%20hacked%2C%20information%20stolen%20by%20unknown%20attackers%20%E2%80%93%20BadCyber.pdf,Lazarus,Poland and Latin America.,Not mentioned,Watering Hole,Not mentioned,"Financial institutions, Government and defense agencies"
2017-02-14,Operation Kingphish_ Uncovering a Campaign of Cyber Attacks against Civil Society in Qatar and... - Amnesty Insights - Medium,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.02.14.Operation_Kingphish/Operation%20Kingphish_%20Uncovering%20a%20Campaign%20of%20Cyber%20Attacks%20against%20Civil%20Society%20in%20Qatar%20and%E2%80%A6%20%E2%80%93%20Amnesty%20Insights%20%E2%80%93%20Medium.pdf,Not mentioned,Qatar and Nepal.,Not mentioned,"Phishing, Social Engineering, SpearPhishing",Not mentioned,Non-Governmental Organizations (NGOs) and Nonprofits
2017-02-15,the-full-shamoon-how-the-devastating-malware-was-inserted-into-networks,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.02.15.the-full-shamoon/the-full-shamoon-how-the-devastating-malware-was-inserted-into-networks.pdf,Not mentioned,Saudi Arabia and Gulf states.,Not mentioned,"SpearPhishing, Malicious Documents","Shamoon, PowerShell, Metasploit, Meterpreter, ntertmgr32.exe, ntertmgr64.exe, vdsk911.sys.","Government and defense agencies, Corporations and Businesses."
2017-02-17,chches-malware--93d6.html,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.02.17.chches-malware/chches-malware--93d6.html.pdf,Not mentioned,Japan,Not mentioned,"SpearPhishing, Malicious Documents",ChChes,Not mentioned
2017-02-21,additional-insights-shamoon2,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.02.21.Additional_Insights_on_Shamoon2/additional-insights-shamoon2.pdf,Magic Hound,Saudi Arabia,Not mentioned,"SpearPhishing, Malicious Documents","PupyRAT, Shamoon2, Shamoon, PowerShell component, malware-0.","Energy and utilities, Critical infrastructure"
2017-02-28,Dridex's Cold War_ Enter AtomBombing,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.02.28.dridexs-cold-war-enter-atombombing/Dridex%27s%20Cold%20War_%20Enter%20AtomBombing.pdf,Not mentioned,UK banks and Europe.,Not mentioned,Not mentioned,"Dridex, AtomBombing","Financial institutions, Corporations and Businesses, Individuals"
2017-03-06,Report_Shamoon_StoneDrill_final,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.03.06.from-shamoon-to-stonedrill/Report_Shamoon_StoneDrill_final.pdf,NewsBeef,Saudi Arabia and Europe.,Not mentioned,Not mentioned,"Shamoon, StoneDrill, NewsBeef, Yara, WinAPI, VBS, VC 2015, STL classes.","Government and defense agencies, Corporations and Businesses, Financial institutions, Manufacturing, Energy and utilities."
2017-03-14,Operation_Electric_Powder,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.03.14.Operation_Electric_Powder/Operation_Electric_Powder.pdf,Gaza Cybergang (AKA Gaza Hacker Team AKA Molerats),Israel,FALSE,"Social Engineering, Watering Hole, Website Equipping, Malicious Documents, Phishing, Exploit Vulnerability, Drive-by Download.",Not mentioned,"Energy and utilities, Critical infrastructure"
2017-04-10,Longhorn_ Tools used by cyberespionage group linked to Vault 7,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.04.10_Longhorn/Longhorn_%20Tools%20used%20by%20cyberespionage%20group%20linked%20to%20Vault%207.pdf,Longhorn,"Middle East, Europe, Asia, Africa, and the United States (unintentionally).",TRUE,"Exploit Vulnerability, Malicious Documents","Corentry, Plexor, Backdoor.Trojan.LH1, Backdoor.Trojan.LH2","Government and defense agencies: governments; Corporations and Businesses: internationally operating organizations, telecoms, aerospace, information technology, natural resources; Financial institutions: financial; Energy and utilities: energy; Education and research institutions: education."
2017-04-13,callisto-group,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.04.13.callisto-group/callisto-group.pdf,Callisto Group,Not mentioned,FALSE,"Phishing, SpearPhishing, Malicious Documents","Scout, HackingTeam Remote Control System (RCS) Galileo, Microsoft Word.","Government and defense agencies, Non-Governmental Organizations (NGOs) and Nonprofits, Media and entertainment companies, Individuals."
2017-05-03,kazuar,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.05.03.kazuar-multiplatform-espionage-backdoor-api-access/kazuar.pdf,Turla threat actor group (also known as Uroburos and Snake).,Not mentioned,Not mentioned,Exploit Vulnerability,"Kazuar, .NET Framework, ConfuserEx, Carbon",Not mentioned
2017-06-12,CrashOverride-01,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.06.12.CRASHOVERRIDE/CrashOverride-01.pdf,ELECTRUM,"Ukraine, Iran.",Not mentioned,Not mentioned,CRASHOVERRIDE,Energy and utilities
2017-06-13,TA17-164A,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.06.13.HIDDEN_COBRA/TA17-164A.pdf,HIDDEN COBRA,United States and South Korea,TRUE,"Exploit Vulnerability, Credential Reuse","DeltaCharlie, Destover, Wild Positron/Duuzer, Hangman, DDoS botnets, keyloggers, remote access tools (RATs), wiper malware, server message block (SMB) worm tool.",Media and entertainment companies (Sony)
2017-06-14,KASPERAGENT,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.06.14.KASPERAGENT/KASPERAGENT.pdf,Not mentioned,Israel and Palestine,Not mentioned,"SpearPhishing, Social Engineering",KASPERAGENT,Government and defense agencies
2017-06-18,RECON-MTL-2017-evolution_of_pirpi,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.06.18.APT3_Uncovered_The_code_evolution_of_Pirpi/RECON-MTL-2017-evolution_of_pirpi.pdf,APT3,"US, Hong Kong",TRUE,Exploit Vulnerability,"Pirpi, Hacking Team, EXEProxy",Government and defense agencies.
2017-06-19,PoS Malware ShellTea PoSlurp_0,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.06.19.SHELLTEA_POSLURP_MALWARE/PoS%20Malware%20ShellTea%20PoSlurp_0.pdf,Not mentioned,Not mentioned,Not mentioned,"SpearPhishing, Malicious Documents","PowerShell, Carberp, PowerSniff, WMI, TROJ_RECOLOAD.A, ShellTea, PoSlurp, net.exe, ipconfig.","Healthcare, Education and research institutions"
2017-06-22,following-trail-blacktech-cyber-espionage-campaigns,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.06.22.following-trail-blacktech-cyber-espionage-campaigns/following-trail-blacktech-cyber-espionage-campaigns.pdf,BlackTech,"East Asia, particularly Taiwan, and occasionally, Japan and Hong Kong.",Not mentioned,"SpearPhishing, Malicious Documents, Exploit Vulnerability","PLEAD, DRIGO, BIFROST, BIFROSE, KIVARS, XBOW, Waterbear.","Government and defense agencies, Corporations and Businesses, Education and research institutions, Energy and utilities."
2017-06-30,From BlackEnergy to ExPetr - Securelist,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.06.30.From_BlackEnergy_to_ExPetr/From%20BlackEnergy%20to%20ExPetr%20-%20Securelist.pdf,Lazarus group,Ukraine,Not mentioned,"SpearPhishing, Malicious Documents, Exploit Vulnerability","ExPetr, BlackEnergy wiper, KillDisk, Wannacry, Petya, NotPetya, Nyetya, TeleBots.","Critical infrastructure, Energy and utilities."
2017-07-06,operation-desert-eagle.html,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.07.06.Operation_Desert_Eagle/operation-desert-eagle.html.pdf,Molerats (Gaza cybergang),Not mentioned,Not mentioned,Malicious Documents,Not mentioned,Government and defense agencies.
2017-07-11,winnti-evolution-going-open-source.html,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.07.11.winnti-evolution-going-open-source/winnti-evolution-going-open-source.html.pdf,Winnti,Not mentioned,Not mentioned,"SpearPhishing, Malicious Documents, Drive-by Download.","PIVY, Chopper, PlugX, ZxShell, Winnti, Browser Exploitation Framework (BeEF), Metasploit Meterpreter, EXE to MSI converter, Jenkins_groovy_code_exec.","Government and defense agencies, Media and entertainment companies, Critical infrastructure"
2017-07-18,blog Inexsmar,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.07.18.Inexsmar/blog%20Inexsmar.pdf,DarkHotel,Not mentioned.,FALSE,SpearPhishing: Whaling; Watering Hole: via Wi-Fi infrastructure in hotels; Exploit Vulnerability: zero-day exploitation techniques; Social Engineering: blending social engineering with a Trojan.,Inexsmar (a Trojan),"Corporations and Businesses, Government and defense agencies, Non-Governmental Organizations (NGOs) and Nonprofits."
2017-07-18,Bitdefender-Whitepaper-Inexsmar-A4-en-EN,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.07.18.Inexsmar/Bitdefender-Whitepaper-Inexsmar-A4-en-EN.pdf,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned
2017-08-15,Notepad_and_Chthonic,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.08.15.Notepad_and_Chthonic/Notepad_and_Chthonic.pdf,Not mentioned,Not mentioned,Not mentioned.,"Malicious Documents, Phishing","Chthonic, Nymaim, Zeus, PowerShell, VBA macro, Microsoft Office document (Excel), msiexec.exe.","Corporations and Businesses, Financial institutions"
2017-08-30,eset-gazer,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.08.30.Gazing_at_Gazer/eset-gazer.pdf,Turla,Southeastern Europe and countries in the former Soviet Union Republic.,Not mentioned,SpearPhishing,"Gazer, Skipper, Carbon, Kazuar, Kopiluak, and WordPress CMS.",Government and defense agencies.
2017-09-06,blog Dragonfly 2,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.09.06.intelligence-games-in-the-power-grid-2016/blog%20Dragonfly%202.pdf,Energetic Bear (Dragonfly),US,Not mentioned,Website Equipping,Not mentioned,"Energy and utilities, Critical infrastructure"
2017-09-18,CCleanup,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.09.18.CCleanup/CCleanup.pdf,Not mentioned,Not mentioned,FALSE,Exploit Vulnerability,"CCleaner Binary, CCBkdr","Corporations and Businesses, Individuals"
2017-09-18,An (un)documented Word feature abused by attackers _ Securelist,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.09.18.Windows_branch_of_the_Cloud_Atlas/An%20%28un%29documented%20Word%20feature%20abused%20by%20attackers%20_%20Securelist.pdf,Not mentioned,Not mentioned,FALSE,"SpearPhishing, Malicious Documents",Not mentioned,Not mentioned
2017-10-12,bronze-butler-targets-japanese-businesses,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections/raw/master/2017/2017.10.12.BRONZE_BUTLER/bronze-butler-targets-japanese-businesses.pdf,BRONZE BUTLER,Japan,TRUE,"SpearPhishing: spearphishing emails; Watering Hole: SWCs, compromised websites; Exploit Vulnerability: Flash exploits, exploiting vulnerability in software.","Daserf, Mimikatz, Windows Credential Editor (WCE), gsecdump, T-SMB Scan, WinRAR, Gofarer, MSGet, xxmm downloader, Datper, xxmm, RarStar","Critical infrastructure, Manufacturing, Corporations and Businesses."
